# Undirected graph (each unordered pair of nodes is saved once): mygraph.txt
# Nodes: 985 Edges: 3020
# NodeId	NodeId
194	461
194	653
194	923
194	925
195	366
195	461
195	643
195	923
195	925
196	357
196	406
196	630
196	631
196	956
197	348
197	386
197	626
197	674
198	388
198	496
198	647
198	904
199	387
199	388
199	640
199	653
200	628
200	637
200	683
201	215
201	426
201	436
201	469
201	695
202	427
202	645
202	713
202	764
202	938
202	943
203	358
203	638
203	903
204	239
204	719
204	730
204	775
205	335
205	344
205	606
205	870
205	908
206	220
206	256
206	399
206	403
206	404
206	660
206	673
206	914
207	292
207	338
207	341
207	342
207	609
207	893
207	906
208	384
208	438
208	448
208	455
208	525
208	650
208	735
209	411
209	657
209	705
209	932
210	222
210	250
210	406
210	769
210	969
211	217
211	321
211	329
211	625
211	684
211	726
211	900
212	213
212	370
212	392
212	397
212	613
213	361
213	392
213	613
213	915
214	264
214	362
214	499
214	500
214	736
214	811
215	436
215	695
215	965
216	426
216	469
216	706
216	983
217	321
217	329
217	625
217	726
217	900
218	458
218	488
218	498
218	655
218	679
219	343
219	474
219	763
219	967
220	256
220	399
220	403
220	404
220	482
220	603
220	660
220	673
220	914
221	354
221	419
221	651
221	659
221	868
222	250
222	729
222	736
222	769
222	811
223	230
223	530
223	689
223	707
223	973
224	262
224	560
224	573
224	592
224	753
225	251
225	413
225	425
225	490
225	648
226	360
226	505
226	624
226	680
226	944
227	231
227	297
227	322
227	518
227	551
227	754
227	771
228	288
228	498
228	671
228	731
228	978
229	405
229	440
229	889
229	891
230	530
230	689
230	707
230	973
231	282
231	297
231	322
231	551
231	754
231	771
232	395
232	424
232	687
232	938
232	943
233	415
233	782
233	963
233	974
233	982
234	237
234	273
234	441
234	535
235	381
235	876
235	882
235	928
236	336
236	374
236	710
236	716
236	746
236	881
237	273
237	441
237	460
237	504
237	535
237	692
238	374
238	690
238	710
238	746
238	793
238	903
239	271
239	317
239	719
239	779
240	412
240	646
240	664
240	676
240	744
241	280
241	376
241	898
242	468
242	484
242	686
242	833
243	275
243	849
243	933
243	937
244	306
244	519
244	765
244	810
244	975
245	319
245	464
245	470
245	479
245	513
245	728
245	748
246	267
246	286
246	318
246	453
246	622
246	759
247	367
247	511
247	521
248	295
248	529
248	540
248	785
249	269
249	745
249	949
249	958
250	406
250	969
251	413
251	428
251	490
251	654
252	333
252	431
252	514
252	711
252	853
252	916
253	265
253	319
253	471
253	495
253	510
253	728
253	734
253	751
254	272
254	749
254	790
254	806
254	937
255	258
255	465
